43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
-0.09105+2.1e-06i	0.4327-10.85i	89.31+17.64i	90.02+15.11i
-0.09091+1.505e-05i	0.1675-2.841i	0.1934-5.912i	0.08316-3.884i
-0.09064-8.737e-07i	1.275+0.2385i	84.6-5.227i	94.06-4.913i
-0.08887+3.4e-06i	4.368-0.09117i	174.5-17.5i	175.1-16.07i
-0.08983-7.384e-08i	3.352-3.713i	160+35.5i	161.6+32.21i
-0.08926+2.378e-06i	0.4751-2.204i	132.6-0.006382i	132-0.08391i
-0.08315-8.875e-07i	0.4389+2.432i	110.8+83.46i	110.1+76.69i
-0.08249+1.226e-05i	1.185+1.807i	89.18-68.29i	90-60.79i
-0.08173+2.237e-06i	0.1609-3.678i	91.57+76.49i	89.48+50.15i
-0.07943+2.257e-06i	2.707+22.45i	0.5032+52.36i	0.2225+37.78i
-0.07847+6.364e-06i	2.97+4.702i	2.996+22.02i	0.628+22.41i
-0.07789+0.0001989i	6.489+4.767i	97.27+38.28i	90.83+31.54i
-0.07789-0.0001758i	0.7625-2.65i	2.867-17.26i	0.1676-16.54i
-0.07578+8.066e-06i	3.209-2.892i	91.08+6.117i	84.4+9.678i
-0.07475+9.616e-06i	4.544+0.08704i	179.6-46i	179.8+45.24i
-0.07366-3.277e-06i	1.682-4.011i	106+19.82i	104.1+19.64i
-0.07325+3.302e-06i	0.1658+0.8459i	16.97+13.2i	36.87+0.702i
-0.0692+3.835e-05i	4.551+15.46i	83.88-106.3i	88.44-91.83i
-0.07248+2.103e-06i	0.8668+0.5999i	91.34+17.29i	89.55+27.79i
-0.0718+3.171e-06i	1.072-10.02i	0.02034+17.15i	1.769-20.4i
-0.07158+3.135e-06i	0.2016+3.596i	90.88-9.587i	91.41-22.97i
-0.06965-4.842e-06i	0.9714-8.554i	142.3-3.206i	142.4-1.86i
-0.07036+8.8e-07i	1.457-1.439i	1.656-15.73i	2.135-53.5i
-0.07042+1.183e-05i	2.73-32.78i	118-1.317i	116.7-0.2073i
-0.001021-2.38e-06i	4.613-1.926i	103.1-8.916i	96.95-31.26i
-0.06783-8.536e-06i	6.675+31.37i	74.87+96.39i	69.4+123.4i
-0.06701+5.101e-06i	3.468+1.459i	128-27.02i	152.8-13.77i
-0.05841-8.843e-07i	28.64+15.12i	54.62+74.98i	33.35+44.52i
-0.05883+8.096e-07i	7.988-0.03678i	90.75+17.96i	89.89+17.12i
-0.0591+1.419e-05i	0.2937+7.426i	3.462+13.17i	0.07039+15.03i
-0.06629-4.25e-07i	3.406+4.69i	84.12-12.66i	89.89-12.75i
-0.06608+3.436e-06i	2.241-1.571i	7.293-18.69i	32.34-0.955i
-0.06052+6.391e-06i	22.05+22.56i	91.54+27.09i	61.83-47.69i
-0.06081-1.545e-06i	164.9-6.156i	149.4+0.08572i	0.1296+38.64i
-0.06572-1.176e-06i	15.05+32.38i	109.2+20.71i	89.26-10.75i
-0.06524+4.034e-05i	0.003648-18.98i	156.2+40.37i	86.73-39.19i
-0.06508+5.863e-06i	109.6+33i	168.5-0.7899i	79.13+13.45i
-0.06461-1.484e-06i	2.558-44.01i	179.7+140.3i	177.9+183.1i
-0.06289-0.0005926i	0.8674-0.645i	4.325+63.59i	0.03106+55.22i
-0.06398+7.958e-07i	4.22+6.893i	82.82+4.64i	90.35+14.88i
-0.06386+5.68e-06i	4.523+2.439i	177.1+84.55i	0.365+77.17i
-0.0636-8.847e-07i	179.9-8.439i	132.5-1.328i	61.93+0.2212i
-0.06289+0.0006127i	7.338+0.3259i	93.84-37.77i	35.24-111i
-0.06221-3.929e-06i	57.39+72.42i	133.3+2.629i	123.6-84.87i
-0.06245+9.691e-06i	0.06824+1.694i	94.32+0.5262i	96.73-0.01192i
-0.0003962+6.961e-07i	1.764-0.2752i	93.49-1.304i	91.87-0.91i
-0.001295+3.739e-06i	1.655-6.236i	9.313-8i	8.949-1.359i
-0.05697+0.0009778i	0.2897-1.296i	86.68+7.489i	85.74+4.399i
-0.0569-0.0008531i	0.02089+1.637i	150.2+6.024i	148+6.016i
-0.05719+2.182e-05i	1.106-0.3544i	159.6+2.393i	158.1+1.767i
-0.05629+0.0004644i	0.4267+0.7263i	2.859+28.94i	3.022+30.42i
-0.05628-0.0004181i	0.4872+0.8147i	88.13-15.45i	88.18-15.24i
-0.05564+6.574e-07i	2.295+2.744i	95.76+9.167i	90.02+3.037i
-0.05383+4.463e-05i	3.649+4.797i	174.9-65.81i	179.8-64.6i
-0.05216-2.131e-05i	2.134-2.429i	23.91-0.8843i	29.13-0.03731i
-0.05121-4.07e-06i	3.091-2.599i	0.3967-14.73i	0.6901-21.51i
-0.04971+0.0005685i	2.928-0.9117i	89.79+12.17i	88.21+7.705i
-0.04968-0.0005844i	0.7442-1.459i	90.81-38.19i	90.4-37.84i
-0.04994-2.118e-05i	0.8375+0.2261i	0.6642-50.67i	0.0881-52.22i
-0.04928+8.004e-08i	2.13-0.5397i	89.59+1.212i	89.31+1.232i
-0.0495+0.0001074i	2.068-0.3276i	31.74-0.8439i	31.56-0.3891i
-0.04951-0.000103i	0.1751+0.3432i	135.3+4.326i	138.6+4.913i
-0.0481+2.225e-05i	2.596+0.5407i	152.9-3.81i	151.5-4.486i
-0.04716+2.412e-06i	0.1101-0.5572i	90.22+49.28i	90.17+48.1i
-0.04633-1.78e-05i	0.06261+0.96i	15.32-6.562i	12.64-6.179i
-0.04525-2.163e-06i	2.233-0.06378i	92.67-32.52i	92.99-33.64i
-0.04505+7.136e-06i	0.04261-1.397i	1.968+59.69i	0.665-58.23i
-0.04449-6.499e-06i	3.031+0.7672i	91.97+118i	89.72+113.2i
-0.04392+4.795e-06i	0.7997-3.899i	89.12+62.49i	89.5+60.3i
-0.001588+4.145e-06i	0.5183+0.04198i	119.8-0.8396i	119.1-1.005i
-0.00202+1.311e-05i	0.4188+0.01666i	18.32+1.811i	19.31+1.692i
-0.002176-4.138e-06i	0.1195+0.7014i	89.53-58.98i	89.7-57.08i
