43.699-1.6198i,43.705-1.62i,43.71-1.6202i,43.716-1.6204i,43.721-1.6205i
-0.75555+1.7314e-09i,-0.7557+8.3493e-10i,-0.75585-7.8018e-11i,-0.75599-1.0152e-09i,-0.76408-6.7182e-05i
-0.69319+0.00070467i,-0.74135-5.3278e-06i,-0.69319+0.00070567i,-0.69319+0.00070615i,-0.75612-1.9751e-09i
-0.7412-5.3466e-06i,-0.73924+1.5545e-07i,-0.7415-5.3089e-06i,-0.74165-5.2901e-06i,-0.75688+9.3915e-07i
-0.73908+1.5541e-07i,-0.73323+1.0175e-08i,-0.73939+1.5548e-07i,-0.73953+1.5551e-07i,-0.74179-5.2713e-06i
-0.73314+4.9236e-07i,-0.73329+4.8393e-07i,-0.73344+4.7573e-07i,-0.73353+9.3681e-09i,-0.73968+1.5554e-07i
-0.73308+1.0566e-08i,-0.69319+0.00070518i,-0.73338+9.775e-09i,-0.73359+4.6776e-07i,-0.73367+8.9568e-09i
-0.66078+4.1991e-06i,-0.66044+4.1961e-06i,-0.66011+4.1933e-06i,-0.65978+4.1904e-06i,-0.73373+4.6002e-07i
-0.606-0.00077616i,-0.60604-0.00077641i,-0.60609-0.00077666i,-0.60614-0.00077688i,-0.60618-0.00077709i
-0.59651+3.8178e-06i,-0.59683+3.7924e-06i,-0.59714+3.7652e-06i,-0.59745+3.7362e-06i,-0.59775+3.7052e-06i
-0.57006+5.2916e-05i,-0.57007+5.326e-05i,-0.57008+5.3591e-05i,-0.5701+5.3908e-05i,-0.57011+5.4212e-05i
-0.54977+1.6319e-06i,-0.54957+1.6226e-06i,-0.54937+1.6134e-06i,-0.54918+1.6043e-06i,-0.54899+1.5952e-06i
-0.51323-0.0011633i,-0.51324-0.0011638i,-0.51325-0.0011643i,-0.51327-0.0011648i,-0.51328-0.0011652i
-0.50208+3.0207e-06i,-0.50231+3.0246e-06i,-0.50253+3.0285e-06i,-0.50275+3.0323e-06i,-0.50296+3.0361e-06i
-0.47227+9.5586e-05i,-0.47228+9.5798e-05i,-0.4723+9.6003e-05i,-0.47232+9.62e-05i,-0.47234+9.639e-05i
-0.44887-0.00080327i,-0.44889-0.00080363i,-0.44891-0.00080398i,-0.44893-0.00080433i,-0.44895-0.00080466i
-0.42546-0.00024157i,-0.42547-0.00024176i,-0.42547-0.00024193i,-0.42548-0.0002421i,-0.42549-0.00024226i
-0.42063+3.6236e-06i,-0.42091+3.5621e-06i,-0.42118+3.5054e-06i,-0.42146+3.453e-06i,-0.42173+3.4047e-06i
-0.40809+1.0136e-06i,-0.40784+1.0751e-06i,-0.40758+1.1318e-06i,-0.40732+1.1839e-06i,-0.40706+1.2319e-06i
-0.38463+2.9091e-05i,-0.38465+2.889e-05i,-0.38467+2.8683e-05i,-0.3847+2.8473e-05i,-0.38472+2.8259e-05i
-0.35779+6.624e-06i,-0.35766+7.4991e-06i,-0.35753+8.7591e-06i,-0.35741+1.0597e-05i,-0.35729+1.323e-05i
-0.35689-0.0003385i,-0.3569-0.00033963i,-0.35691-0.00034114i,-0.35691-0.00034321i,-0.35692-0.00034608i
-0.34868+1.0968e-05i,-0.34863+1.1129e-05i,-0.34858+1.1292e-05i,-0.34853+1.1457e-05i,-0.34848+1.1624e-05i
-0.34232-0.00049079i,-0.34234-0.00049109i,-0.34236-0.00049138i,-0.34238-0.00049167i,-0.3424-0.00049196i
-0.3305-0.00031498i,-0.33051-0.0003151i,-0.33053-0.00031521i,-0.33055-0.00031532i,-0.33056-0.00031542i
-0.31166+8.6551e-06i,-0.31168+8.6521e-06i,-0.31171+8.6484e-06i,-0.31173+8.6441e-06i,-0.31176+8.6389e-06i
-0.30817+1.1381e-05i,-0.30827+1.1389e-05i,-0.30837+1.1399e-05i,-0.30846+1.1409e-05i,-0.30856+1.1421e-05i
-0.30144-0.00016748i,-0.30146-0.00016751i,-0.30147-0.00016753i,-0.30148-0.00016755i,-0.3015-0.00016757i
-0.28281-0.00011335i,-0.28279-0.00011366i,-0.28278-0.00011395i,-0.28276-0.00011422i,-0.28275-0.00011447i
-0.28258+3.4124e-06i,-0.28256+3.5942e-06i,-0.28254+3.7589e-06i,-0.28251+3.9079e-06i,-0.28249+4.043e-06i
-0.26948+0.00034762i,-0.26945+0.00034853i,-0.26943+0.0003494i,-0.2694+0.00035024i,-0.26938+0.00035105i
-0.25929-0.00019156i,-0.25857+1.5444e-06i,-0.25929-0.00019057i,-0.25852+1.412e-06i,-0.25929-0.00018957i
-0.25859+1.613e-06i,-0.25929-0.00019106i,-0.25854+1.4775e-06i,-0.25929-0.00019007i,-0.2585+1.3476e-06i
-0.25726-8.6244e-06i,-0.25727-8.8902e-06i,-0.25728-9.145e-06i,-0.2573-9.3886e-06i,-0.25731-9.6211e-06i
-0.25614+1.7118e-05i,-0.25619+1.7123e-05i,-0.25623+1.7126e-05i,-0.25628+1.7126e-05i,-0.25632+1.7124e-05i
-0.24919-1.0879e-05i,-0.24919-1.0266e-05i,-0.24919-9.665e-06i,-0.24918-9.0758e-06i,-0.24918-8.4989e-06i
-0.24392+2.6539e-06i,-0.244+2.6524e-06i,-0.24409+2.6472e-06i,-0.24418+2.639e-06i,-0.24426+2.6284e-06i
-0.24067+0.00014376i,-0.24065+0.00014347i,-0.24062+0.00014299i,-0.2406+0.00014225i,-0.24058+0.00014119i
-0.23996+9.6654e-06i,-0.23992+1.0628e-05i,-0.23989+1.1813e-05i,-0.23987+1.3258e-05i,-0.23987+1.5021e-05i
-0.2384+4.8664e-06i,-0.23838+4.7129e-06i,-0.23836+4.5494e-06i,-0.23832+4.3869e-06i,-0.23828+4.2358e-06i
-0.2343+6.3236e-06i,-0.23427+6.34e-06i,-0.23424+6.3571e-06i,-0.23421+6.3746e-06i,-0.23418+6.3921e-06i
